Food Name,Food Group,Food Sub Group,Per Serving ,Energy (kcal),Protein (g),Total Fat (g),Carbo (g)
"Spinach, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,204,16.9,8.8,17.5
"Spinach, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",35g,479,12.7,23.2,58.9
"Green beans, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Legumes (eg fresh beans,peas in pods)",35g,161,7.7,2.8,27.1
"Long bean leaves, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,147,9,0.5,27.5
"Katuk leaves, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,109,8.7,0.5,18.3
"Moringa leaves, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,521,32.2,37.7,22.9
"Mengkudu leaves, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,189,20.2,8.2,12.7
"Cassava leaves, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,158,10.3,0.9,28.2
"Taro leaves, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,144,10,1,24.7
"Red sweet potato leaves, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,629,20.4,56.3,19.8
"Long beans, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Legumes (eg fresh beans,peas in pods)",43g,360,13.5,31.2,12.8
"Long beans, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Legumes (eg fresh beans,peas in pods)",100g,564,25.5,44.4,25.5
"Kangkung, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,220,10.6,18,8
"Kangkung, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,138,10.7,1.1,22.6
"White bitter melon, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",100g,96,3.7,0.6,19.1
"Lettuce, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,75,4.1,2.1,10.7
"Bean sprouts, fried",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",100g,414,26.6,18.3,41.3
"Bean sprouts, brewed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",100g,76,5.2,1.8,10.6
"Long eggplant, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",100g,210,30,10,10
"Carrots, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",100g,365,45,13,17
"Carrots, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",100g,367,23,15,35
"Bogor pickles, vegetables",VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,368,2.6,8.6,70
"Anyang, vegetables",VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,300,12,1.5,61
"Ares, vegetables",VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,355,17.8,4.6,60.7
Arwan sirsir,VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,538,13.6,30.3,52.6
Beberuk,VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,524,13.3,29.2,52
Botok lamtoro,VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,565,18.2,38.4,36.8
Buntil taro leaves,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,350,1.4,14.4,53.6
Cammetutu,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,462,3.1,24.4,57.7
"Cap cai, vegetables",VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,533,27.8,38.1,28.8
Gado-gado,VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,516,14.7,31.1,44.4
"Gudeg, vegetables",VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,480,18.4,19.1,58.5
Parc curry,VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,484,8.8,26.1,57.7
Pliek curry,VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,561,25.5,43.8,26
Kadada katembe,VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,590,27,49,20.9
"Kaparende, vegetables",VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,380,48.9,13.8,23.3
"Karedok, vegetables",VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,90,10.7,4,4.7
Spinach chips,VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,598,8.3,43.8,42.6
Kotiu hinela tawang nggole,VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,581,12.1,40.6,41.7
Lema/sour bamboo shoots,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems ",100g,556,15.8,37.1,39.8
Gedi wrapped candles,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,542,40.3,42.4,11.6
Paku hinela wulelenggapaya,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,529,20.8,31.7,40.2
Kangkung pelecing,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,540,16.7,33.9,42
Purundawa,VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,515,30.6,42.1,13.8
Rujak cingur,VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,439,10,16.4,65.7
Sour vegetable,VEGETABLE AND VEGETABLE PRODUCTS,Mixed vegetable dishes,100g,431,11.1,16.2,63
Papaya flower vegetable,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",100g,485,11.5,24.5,59.1
Garu vegetable,VEGETABLE AND VEGETABLE PRODUCTS,"Starchy roots,tubers,corms and stems ",100g,128,8,10,1.3
Oncom,VEGETABLE AND VEGETABLE PRODUCTS,"Legumes (eg fresh beans,peas in pods)",100g,187,13,6,22.6
Oncom green bean dregs,VEGETABLE AND VEGETABLE PRODUCTS,"Legumes (eg fresh beans,peas in pods)",100g,376,14.9,6,65.7
Oncom green beans + cassava,VEGETABLE AND VEGETABLE PRODUCTS,"Legumes (eg fresh beans,peas in pods)",100g,351,11,5.3,65.9
Oncom peanuts spicy,VEGETABLE AND VEGETABLE PRODUCTS,"Legumes (eg fresh beans,peas in pods)",100g,132,12.7,3.8,13.7
Peanut brittle,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,513,17.5,32.5,44.3
Tolo peanut brittle,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,451,11.2,20.2,59.7
Uci peanut brittle,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,497,17,27.6,50.8
Lebui vegetables,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,64,2.1,0.6,12.5
"Saridele, powder","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,344,30,20,43
Soy milk,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,41,3.5,2.5,5
Fried tofu,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,115,9.7,8.5,2.5
Egg tofu,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,328,12.6,19.9,24.6
Piety,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,148,13.8,8.5,4
Tauco,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,184,11.4,5.5,22.2
"Tauco bear stamp, cake","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,347,7.4,5.2,67.6
"Tauco stamp DAS, cake","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,358,7.5,4.3,70.4
Tauco cap meow,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,159,7.4,4.9,21.3
Tauji lion stamp,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,277,9.1,4.7,49.6
Bongkrek tempeh,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,88,10,4,3
P3G gembus tempeh,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,73,5.7,1.3,10.3
Yogya gembus tempeh,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,76,6.8,0.7,10.6
Pork bean tempeh,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,139,12.5,0.8,21.9
Star fruit tempeh,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,212,17.5,10,12.9
Soy tempeh + corn,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,143,12,5.5,11.4
"Pure soybean tempeh, fried","NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,350,24.5,26.6,10.4
Tempe koro benguk,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,141,10.2,1.3,23.2
Lamtoro tempeh,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,128,10.7,0.5,21.3
Tempeh Lamtoro var. gung with skin,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,146,11.7,2.3,19.6
Tempeh Lamtoro var. gung without skin,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,131,18,0.8,13
Market tempeh,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,150,14,7.7,9.1
Fried market tempeh,"NUTS AND SEEDS, PULSES AND PRODUCTS","Pulses and products (eg beancurds, tempeh)",100g,336,20,28,7.8
"Spinach, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,30,1.3,0.7,5.8
"Spinach, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,23,1.2,0.6,3.7
"Green beans, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,30,2.2,0.2,6.4
"Long bean leaves, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,40,3.7,0.3,8
"Katuk leaves, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,53,5.3,0.9,9.1
"Moringa leaves, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,61,6.1,0.9,10
"Mengkudu leaves, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,63,3.8,1.5,11.5
"Cassava leaves, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,31,3.7,0.6,4.8
"Taro leaves, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,27,1.3,0.2,5.9
"Red sweet potato leaves, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,56,3.1,0.3,13
"Long beans, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Legumes (eg fresh beans,peas in pods)",100g,39,3,0.6,7.6
"Long beans, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Legumes (eg fresh beans,peas in pods)",100g,30,2.3,0.4,5.8
"Kangkung, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,30,3.2,0.7,4.7
"Kangkung, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,22,2.5,0.6,3.1
"White bitter melon, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,16,0.8,0.2,3.4
"Lettuce, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,19,2.7,0.2,2.9
"Bean sprouts, fried",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,88,3.2,2.1,14
"Bean sprouts, brewed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,28,3,0.8,4
"Long eggplant, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,23,1.8,0.1,4.9
"Carrots, boiled",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,28,0.7,0.5,6.3
"Carrots, steamed",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,37,1,0.6,8.3
"Bogor pickles, vegetables",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,98,3.9,2.6,14.8
"Anyang, vegetables",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,126,3.4,7.9,10.3
"Ares, vegetables",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,113,0.9,7.2,11.2
Arwan sirsir,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,277,2.4,25,10.7
Beberuk,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,65,1.1,5.2,3.5
Botok lamtoro,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,186,11.7,9.7,13
Buntil taro leaves,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,141,4.4,10.2,8
Cammetutu,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,102,3.2,6,8.7
"Cap cai, vegetables",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,97,5.8,6.3,4.2
Gado-gado,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,137,6.1,3.2,21
"Gudeg, vegetables",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,160,3.3,9.2,16
Parc curry,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,143,4,11.4,6
Pliek curry,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,176,7.3,14.9,3.2
Kadada katembe,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,110,4.5,6.9,7.1
"Kaparende, vegetables",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,38,2.4,2,2.6
"Karedok, vegetables",VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,92,2.2,3.3,14.1
Spinach chips,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,586,4.9,40.6,50.2
Kotiu hinela tawang nggole,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,46,2.2,1.5,6
Lema/sour bamboo shoots,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,15,1,0.4,1.9
Gedi wrapped candles,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,79,2.3,5.2,5.8
Processings,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,9,2.1,6,7.1
Paku hinela wulelenggapaya,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,77,3.5,4.6,5.4
Kangkung pelecing,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,75,2.5,2.8,10
Purundawa,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,25,1.5,0.5,3.6
Rujak cingur,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,153,11.3,8.4,8
Sour vegetable,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,29,0.7,0.6,5
Papaya flower vegetable,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,49,1.7,0.3,9.8
Garu vegetable,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables,leafy",100g,178,2.6,13.9,10.6
"Avocado, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,61g,85,0.9,6.5,7.7
"Forest grapes, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,100g,30,0.5,0.2,6.8
"Malang apple, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,88g,57,0.5,0.4,12.8
"Apple, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,88g,58,0.3,0.4,14.9
"Arbai, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,96g,37,0.8,0.5,8.3
"Starfruit, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,86g,36,0.4,0.4,8.8
"Biwah, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,66g,51,0.3,0.1,12.1
"Atung fruit, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,80g,23,0.8,0.2,5.2
"Kelenting fruit, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,77g,110,1.4,2.1,21.4
"Kom fruit, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,100g,264,4,1.1,59.6
"Butter fruit (bisbul), fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,50g,39,0.7,0.2,9.7
"Red dragon fruit, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,66.5g,71,1.7,3.1,9.1
"White dragon fruit, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,73.6g,56,0.8,1,10.9
"Negri fruit, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,48g,55,1.2,0.1,12.2
"Nona fruit, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,58g,101,1.7,0.6,25.2
"Rattan fruit, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,,78,0.6,0.3,18.2
"Rukam fruit, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,100g,113,0.8,0.3,26.8
"Ruruhi fruit, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,82g,29,2.1,0.7,3.6
"Tuppa fruit, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,,67,0.4,0.2,15.9
"Carica papaya, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,60g,24,1.9,0.2,3.7
"Cempedak, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,30g,116,3,0.4,28.6
"Duku, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,64g,63,1,0.2,16.1
"Durian, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,22g,149,2.5,3,21.5
"Duwet, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,67g,80,0.5,0.6,18.2
"Embacang, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,65g,98,1.4,0.2,25.4
"Encung asam, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,98g,122,3.5,4.5,17.5
"Erbis, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,33g,70,0.6,0,18.9
Ripe gandaria,FRUIT AND FRUIT PRODUCTS,Fresh fruits,70g,68,0.7,0.1,18
"Gatep, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,100g,191,4.5,1.5,39.7
"Water apple, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,90g,46,0.6,0.2,11.8
Guava,FRUIT AND FRUIT PRODUCTS,Fresh fruits,82g,64,0.9,0.3,12.2
White seedless guava,FRUIT AND FRUIT PRODUCTS,Fresh fruits,82g,61,0.9,0.3,15.4
"Bol guava, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,67g,49,2.3,0.2,9.6
"Monkey guava, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,90g,49,0.7,0.6,15.8
"Grapefruit, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,62g,48,0.6,0.2,12.4
"Banjar orange, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,72g,61,0.8,0.2,14.1
Orange garut-keprok,FRUIT AND FRUIT PRODUCTS,Fresh fruits,71g,44,0.8,0.3,10.9
"Kalamansi orange, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,100g,39,0.3,0.3,8.9
"Sweet orange, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,72g,45,0.9,0.2,11.2
"Lime, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,76g,44,0.5,0.2,10
"Ragi orange, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,59g,49,0.7,0.2,11.1
"Kawista, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,72g,120,3.5,2.5,20.8
"Ripe kedondong, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,58g,46,1,0.1,10.3
"Kedondong, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,58g,47,0.5,0.2,10.4
"Forest coconut, dry",FRUIT AND FRUIT PRODUCTS,Fresh fruits,,623,2,52.1,36.5
"Young coconut, flesh, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,53g,68,1,0.9,14
"Kemang, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,65g,48,1,0.2,11.9
"Persimmon, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,97g,78,0.8,0.4,20
"Kokosan, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,64g,86,1.6,0.2,13
"Kranji, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,31g,315,2.1,1.4,73.5
"Langsat, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,64g,56,0.9,0.2,14.3
"Lemon, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,100g,34,0.5,0.8,6.2
"Lontar, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,79g,27,0.4,0.2,6
"Mango, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,65g,52,0.7,0,12.3
"Bengal mango, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,65g,63,2.4,0.4,12.4
"Building mango, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,65g,44,0.7,0.2,11.2
"Golek mango, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,65g,63,0.5,0.2,16.7
"Harumanis mango, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,65g,46,0.4,0.2,11.9
"Indramayu mango, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,65g,72,0.8,0.2,18.7
"Kopek mango, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,65g,56,0.4,0.2,14.6
"Kwini mango, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,65g,86,0.7,0.5,19.8
"Managalagi mango, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,65g,133,1,0.1,32.1
"Young mango, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,73g,59,0.5,0.4,15.1
"Mangosteen, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,29g,63,0.6,0.6,15.6
"Passion fruit, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,48g,144,3.5,1.2,29.8
"Matoa, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,40g,90,1.2,0.1,21.1
"Melon, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,58.1g,37,0.6,0.4,7.8
"Menteng, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,64g,65,1.7,0.3,16.1
"Palembang pineapple, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,53g,58,0.7,0.2,13.3
"Pineapple, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,53g,40,0.6,0.3,9.9
"Ripe jackfruit, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,28g,106,1.2,0.3,27.6
"Nutmeg, flesh, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,30g,42,0.3,0.2,10.9
"Papaya, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,75g,46,0.5,0.1,12.2
"Ambon banana, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,75g,108,1,0.8,24.3
"Angleng banana (ampyang banana), fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,75g,68,1.3,0.2,17.2
"Chicken banana, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,75g,120,1.1,0.2,26.8
"Gapi banana, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,75g,131,1.6,0.1,31.1
"Goroho banana, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,75g,119,1.5,0.2,27.9
"Green banana, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,72g,121,1,0.1,28.9
"Wood banana, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,75g,100,1.4,0.5,23.6
"Kepok banana, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,75g,109,0.8,0.5,26.3
"Ketip banana, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,75g,145,1.1,0.3,34.5
"Kidang banana, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,70g,96,1,0.2,22.5
"Lampung banana, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,75g,99,1.3,0.2,25.6
"Bali mas banana, ampenan, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,75g,92,1.4,0.2,21
"Bali mas banana, kopang, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,75g,127,1.4,0.2,31.8
"Banana mas, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,85g,127,1.4,0.2,33.6
"Raja lemongrass banana, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,86g,108,1.3,0.3,28.2
"Raja banana, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,70g,120,1.2,0.2,31.8
"Ratan banana, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,56g,98,1.3,1.2,20.5
"Taro banana, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,75g,113,1.2,0.2,26.7
Seven month banana,FRUIT AND FRUIT PRODUCTS,Fresh fruits,75g,94,0.6,0.2,22.5
"Ua banana, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,75g,128,0.8,0.5,30.2
"Uli banana, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,77g,134,1.1,0.5,35.5
"Purut, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,34g,76,4.1,1.1,15.2
"Binjai rambutan, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,40g,76,0.5,0.2,18
"Rambutan, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,40g,69,0.9,0.1,18.1
"Bali salak, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,93g,57,0.5,0.1,13.6
